Day,Date,PlantID,plantheightcm,OLlength(cm),OLwidth(cm),MRFLlength(cm),MRFLwidth(cm),numberofleaves,RGR_plantheightcm,RGR_OLlength(cm),RGR_OLwidth(cm),RGR_MRFLlength(cm),RGR_MRFLwidth(cm),RGR_numberofleaves
14,8-Feb,40,2.6,6.3,4,2.2,1.7,8,2.5,0.16,0.04,0.36,0.4,0.4
0,25-Jan,41,0.9,3.9,2.5,3.9,2.5,2,0,0,0,0,0,0
2,27-Jan,41,0.9,4.9,3.5,1.7,1,4,0.05,0.7,0.3,0.4,0.4,0
7,1-Feb,41,2.1,6.5,5.7,5.9,4.7,4,1.76,0.46,0.12,1.48,1.02,0.6
9,3-Feb,41,2.4,7.2,5.6,4.1,2.6,5,0.7,-0.3,-0.15,-2.35,-2.05,1.5
14,8-Feb,41,2.7,7.1,5.7,5.9,3.9,8,2.5,0.16,0.04,0.36,0.4,0.4
0,25-Jan,42,0.6,3.9,1.3,3.9,1.3,2,0,0,0,0,0,0
2,27-Jan,42,1.6,4.6,2.1,2,1.3,4,0.05,0.7,0.3,0.4,0.4,0
7,1-Feb,42,2.8,6.1,3.1,5.2,3.9,5,1.76,0.46,0.12,1.48,1.02,0.6
9,3-Feb,42,2.3,6.1,3.4,4.7,2.7,5,0.7,-0.3,-0.15,-2.35,-2.05,1.5
14,8-Feb,42,2.8,5.4,3.6,4.5,2.2,7,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,43,5.1,3,1.9,3,1.9,2,0,0,0,0,0,0
7,1-Feb,43,6.6,8.7,7.4,5,4.3,2,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,43,8.4,9.7,8.2,6.5,6.2,2,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,43,12.3,10.5,9,3.9,2.8,3,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,44,5.8,2.7,1.4,2.7,1.4,2,0,0,0,0,0,0
7,1-Feb,44,8.4,8.5,7.1,4.2,3.1,2,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,44,9.9,9.5,8.3,6,4.6,2,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,44,12.6,10.9,9.5,2.8,2.7,3,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,44,18.8,4.2,7.1,7.3,8.3,7,2.5,0.16,0.04,0.36,0.4,0.4
7,1-Feb,45,8.9,5.8,2.9,5.8,2.9,2,0,0,0,0,0,0
9,3-Feb,45,10.1,9.9,7.3,8.3,6.6,2,0.05,0.7,0.3,0.4,0.4,0
14,8-Feb,45,13.1,9.5,7.8,3.1,2.4,4,1.76,0.46,0.12,1.48,1.02,0.6
23,17-Feb,45,21.8,4.2,7,4.5,3.8,7,0.7,-0.3,-0.15,-2.35,-2.05,1.5
7,1-Feb,46,8.5,5.5,4.6,5.5,4.6,2,0,0,0,0,0,0
9,3-Feb,46,9.6,9.3,7.5,9.3,7.5,2,0.05,0.7,0.3,0.4,0.4,0
14,8-Feb,46,13.7,10.6,9,3.9,3.2,4,1.76,0.46,0.12,1.48,1.02,0.6
2,27-Jan,47,6.5,2.9,2.1,2.9,2.1,2,0,0,0,0,0,0
7,1-Feb,47,9.1,7.1,7.1,7.1,7.1,1,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,47,10.6,8.5,8,3.1,3.3,2,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,47,12.6,9.2,9.2,9.2,9.2,2,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,47,18.5,4.6,9.2,9,7.9,7,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,48,6.5,3.6,2.4,3.6,2.4,1,0,0,0,0,0,0
7,1-Feb,48,9.6,8,6.9,8,6.9,1,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,48,10.4,8.6,7.5,5.1,5,2,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,48,12.2,9.1,8.3,9.1,8.3,3,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,49,4.1,3.1,1.9,3.1,1.9,2,0,0,0,0,0,0
7,1-Feb,49,6.4,7.4,6,7.4,6,2,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,49,7.7,8.1,6.6,8.1,6.6,2,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,49,11.7,9.6,8.2,4.6,3.9,3,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,50,6.9,4.1,2.7,4.1,2.7,2,0,0,0,0,0,0
7,1-Feb,50,9.5,9.5,7.2,9.5,7.2,2,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,50,11.1,9.7,7.8,9.7,7.8,2,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,50,13.8,9.8,9.4,3.1,2.7,4,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,51,5.4,3,1.9,3,1.9,2,0,0,0,0,0,0
7,1-Feb,51,6,7.5,6.2,5.4,4.2,2,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,51,8.5,8,6.2,5.3,5.5,2,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,51,11.6,8.7,7.7,3.2,2.3,4,0.7,-0.3,-0.15,-2.35,-2.05,1.5
23,17-Feb,51,18.2,4.5,8,3.8,3.1,7,2.5,0.16,0.04,0.36,0.4,0.4
2,27-Jan,52,6.7,3.5,2.2,3.5,2.2,2,0,0,0,0,0,0
7,1-Feb,52,9.5,8.9,7.4,5.9,4.3,2,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,52,11.1,9.7,8.3,7.8,6.2,2,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,52,14.5,10.1,9.1,3.5,3.1,3,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,53,0.2,4.9,3.6,4.9,3.6,2,0,0,0,0,0,0
7,1-Feb,53,1.6,7.1,6,6.8,4.4,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,53,3.1,7.5,6.4,7.9,5.2,5,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,53,3.4,7.6,6.7,6,3.8,8,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,54,0.1,3.1,1.9,3.1,1.9,2,0,0,0,0,0,0
7,1-Feb,54,0.8,5.4,3.6,5,3.3,3,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,54,1,5.4,3.7,5,3.4,6,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,54,2.8,6,4.1,3.2,2,11,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,55,0.1,3.9,2.7,3.9,2.7,2,0,0,0,0,0,0
7,1-Feb,55,1.4,6.5,4.4,5.5,3.3,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,55,1.9,6.5,4.5,6.4,3.5,5,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,55,2.6,6.4,4.6,4.2,2.4,8,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,56,0.4,3.5,2.2,3.5,2.2,2,0,0,0,0,0,0
7,1-Feb,56,0.7,4.7,3.8,3.1,2,4,0.05,0.7,0.3,0.4,0.4,0
9,3-Feb,56,1.2,5.1,3.5,3.5,2.4,4,1.76,0.46,0.12,1.48,1.02,0.6
14,8-Feb,56,1.8,5.2,3.7,3.2,2,7,0.7,-0.3,-0.15,-2.35,-2.05,1.5
2,27-Jan,57,2.8,3.1,2.1,3.1,2.1,2,0,0,0,0,0,0
7,1-Feb,57,3.5,5.3,4.2,2,2.1,2,0.05,0.7,0.3,0.4,0.4,0
